"times","exponential_ma_open","exponential_ma_high","exponential_ma_low","exponential_ma_close","symbol","market"
"2019-10-10 11:30:00",45.3392,45.4505,45.2443,45.3361,"AAON","NASDAQ"
"2019-10-10 11:15:00",45.3345,45.4461,45.24,45.332,"AAON","NASDAQ"
"2019-10-10 11:00:00",45.3292,45.4419,45.2347,45.3276,"AAON","NASDAQ"
"2019-10-10 10:45:00",45.326,45.4394,45.231,45.324,"AAON","NASDAQ"
"2019-10-10 10:30:00",45.3222,45.4363,45.2294,45.3208,"AAON","NASDAQ"
"2019-10-10 10:15:00",45.3183,45.4317,45.2266,45.3173,"AAON","NASDAQ"
"2019-10-10 10:00:00",45.3155,45.4268,45.2254,45.3145,"AAON","NASDAQ"
"2019-10-10 09:45:00",45.3136,45.4233,45.2226,45.3098,"AAON","NASDAQ"
"2019-10-09 16:00:00",45.3133,45.424,45.2215,45.3096,"AAON","NASDAQ"
"2019-10-09 15:45:00",45.3146,45.4255,45.2228,45.3113,"AAON","NASDAQ"
"2019-10-09 15:30:00",45.3142,45.4256,45.2229,45.3122,"AAON","NASDAQ"
"2019-10-09 15:15:00",45.3141,45.4258,45.2222,45.3122,"AAON","NASDAQ"
"2019-10-09 15:00:00",45.3136,45.4257,45.2213,45.3122,"AAON","NASDAQ"
"2019-10-09 14:45:00",45.3156,45.4274,45.2223,45.3127,"AAON","NASDAQ"
"2019-10-09 14:30:00",45.3165,45.4295,45.2236,45.3149,"AAON","NASDAQ"
"2019-10-09 14:15:00",45.3181,45.4311,45.2242,45.3162,"AAON","NASDAQ"
"2019-10-09 14:00:00",45.3186,45.4327,45.2247,45.3173,"AAON","NASDAQ"
"2019-10-09 13:45:00",45.3182,45.4333,45.2239,45.3174,"AAON","NASDAQ"
"2019-10-09 13:30:00",45.3155,45.4314,45.2233,45.3172,"AAON","NASDAQ"
"2019-10-09 13:15:00",45.3139,45.4302,45.2211,45.3154,"AAON","NASDAQ"
"2019-10-09 13:00:00",45.3117,45.4278,45.2183,45.3136,"AAON","NASDAQ"
"2019-10-09 12:45:00",45.3087,45.426,45.2166,45.3124,"AAON","NASDAQ"
"2019-10-09 12:30:00",45.3046,45.4231,45.2126,45.3089,"AAON","NASDAQ"
"2019-10-09 12:15:00",45.301,45.4206,45.2085,45.3057,"AAON","NASDAQ"
"2019-10-09 12:00:00",45.2978,45.418,45.2046,45.3019,"AAON","NASDAQ"
"2019-10-09 11:45:00",45.295,45.4158,45.2014,45.2996,"AAON","NASDAQ"
"2019-10-09 11:30:00",45.295,45.416,45.2008,45.2987,"AAON","NASDAQ"
"2019-10-09 11:15:00",45.2955,45.4166,45.2004,45.2986,"AAON","NASDAQ"
"2019-10-09 11:00:00",45.2957,45.4179,45.2008,45.3,"AAON","NASDAQ"
"2019-10-09 10:45:00",45.2957,45.4182,45.2003,45.2994,"AAON","NASDAQ"
"2019-10-09 10:30:00",45.2946,45.418,45.1993,45.2993,"AAON","NASDAQ"
